,LinearAcc,Manipulation,WristRoll,WristRollRegularity
0,1.0979949410410232,569.3753815484041,10.001605357632613,0.37375178316690444
1,0.9718976737017618,696.0405277336815,9.17312867765258,0.2789060676255634
2,0.8860021622313907,4899.1626570607,8.902332537711635,0.27193572810633465
3,1.0264488168906993,360.64355472227186,8.702188948972205,0.28391167192429023
4,1.17582211463342,380.5305646852388,7.829596384179363,0.22749817058297422
5,1.0688792985130504,581.5894221656254,5.136232083790612,0.13946981884311396
6,1.0700051570848101,149.13886594539096,2.662318155366829,0.07546134191350432
7,1.0587433603386904,290.8099585484116,4.3333170749810925,0.12206697884544612
8,0.960257636821417,397.3088762324157,5.970878394558378,0.18529071571642172
9,0.0,0.0,0.0,0.0
